Hvordan formerer bakterier seg?; Binær fisjon (todeling)
Hva kjennetegner celleveggen til gram-negative bakterier?; Komplisert/flere lag/flere lag i cellevegg (Tynt peptidoglykanlag men i tillegg ytre membran med LPS)
Strukturert bakteriesamfunn bundet til en overflate og til hverandre, som øker overlevelsen; Biofilm
Overføring av plasmider ved hjelp av sexpilus heter; Konjugasjon
Dvaletilstand som øker overlevelse (f.eks. Clostridioides difficile); Sporedannelse/sporer/spore
Bakterier som liker oksygen best, men klarer seg uten; Fakultativt anaerob/fakultativ/fakultative/fakultativt anaerobe/fakultative anaerobe
Dyrkningsmedium med lyserte blodceller; Sjokoladeagar/sjokolade
Agar der gram-negative staver vokser spesielt godt; Laktoseagar/laktose
Laktosespaltende bakterier vil endre fargen på laktoseagar fra blå til; Grønn/gul
Gram-positive bakterier farges lilla på grunn av _____ i celleveggen; Peptidoglykan/peptidoglykaner
Bakterier med en ytre membran farges gram-_______; Negativ/negativt
Disk-diffusjon måler; Sonediameter/hemningssone (Diameteren omsettes til følsom eller resistent - MIC måles med gradienttest)
Dyrkningsmedium som passer H. influenzae spesielt godt; Sjokoladeagar/sjokolade
Gen som alle bakterier har, brukes i diagnostikk; 16S/16S rRNA/16S RNA
Den minste mengden antibiotika som kreves for å hemme bakterievekst kalles; MIC/MIC-verdi/MIK/MIP
Streptokokker er katalase _____; negativ/negative
Hvilke bakterier ligner streptokokker i mikroskop?; Enterokokker
Koloniserer hud og slimhinner, ofte i normalfloraen i luftveiene, med markert beta-hemolyse; GAS/gruppe A streptokokker/gruppe A
Akutt revmatisk feber, erythema nodosum (knuterosen) og akutt glomerulonefritt er følgetilstander til; GAS/S. pyogenes/gruppe A streptokokk
S. agalactiae er en ___; GBS/gruppe B streptokokk
Opportunist som forekommer normalt i de øvre luftveier, i feces og i vagina; S. agalactiae/GBS/gruppe B streptokokk
Orale streptokokker (hoveddelen av normalfloraen i munnhulen og øvre luftveier); Viridans streptokokker/grønne streptokokker/viridans
Endokarditt, kan være årsak til tannrotabscesser, og gir alfa-hemolyse; Viridans streptokokker/viridans
Diplokokker som kan gi pneumoni, otitis media og sinusitt, og som finnes i normalfloraen i øvre luftveier; S. pneumoniae/streptococcus pneumoniae/pneumokokker/diplokokker
Gruppe A streptokokker er følsomme for antibiotikumet ___; Bacitracin
Viridans (bortsett fra S. pneumoniae) er resistente for antibiotikumet ____; Optochin/optokin
Stafylokokker er katalase ___; positive/positiv
Hvilke stafylokokker er koagulasepositive?; S. aureus/gule stafylokokker/gule
Hvilken bakterie står ofte for UVI hos unge kvinner?; S. saprophyticus (Klassikeren hos unge kvinner - E coli er likevel vanligst totalt)
Hvilken av de hvite stafylokokkene er sensitiv for novobiocin?; S. epidermidis/staphylococcus epidermidis
Hvilke stafylokokker har beta-hemolyse?; S. aureus/gule/gule stafylokokker
Hvilke stafylokokker har ingen eller gamma-hemolyse?; Hvite/KNS/hvite stafylokokker
Hvilken stafylokokk gir ofte infeksjon etter innsetting av fremmedlegemer?; S. epidermidis
Sporedannende gram-positive staver som smitter gjennom punksjonssår og gir stivkrampe; Clostridium tetani/C. tetani
Mykobakterier er anaerobe eller aerobe?; Aerobe
Bakterier som farges med Ziehl-Neelsen-farging?; Mykobakterier/syrefaste/syrefaste bakterier
Mykobakterier har mye _____ i celleveggen; fett/lipider/lipid (Mykolsyre)
Mykobakterier er resistente mot kjemisk desinfeksjon og inntørking, men tåler ikke ____; Sollys/lys
Mykobakterier deler seg raskt eller sakte?; Sakte
Tuberkulosebakterier kan spises av og vokse inni ____; Makrofager
Mykobakterier er ubevegelige (sant/usant); Sant
Hvilken sykdom forårsakes av Bordetella pertussis?; Kikhoste
Haemophilus influenzae er gram____ staver; Negativ/negative
CNS er godt beskyttet mot infeksjoner pga. ____; blod-hjerne-barrieren/BBB
Feber, nakkestivhet, endret mental status og fotofobi tyder på; Meningitt
Petekkier sees ved hvilken type meningitt?; meningokokkmeningitt/meningokokk/meningokokker/neisseria meningitidis/bakteriell/bakterielle
Gram-negative diplokokker, vanligste årsak til meningitt hos ungdom 15-25 år; neisseria meningitidis/neisseria/N. meningitidis/meningokokk/meningokokker (Mennesket er eneste reservoar)
Gram-positiv stav som kan gi meningitt i alle aldersgrupper; listeria monocytogenes
E. coli og GBS kan gi meningitt hos ___; nyfødte/babyer
Vanligste årsak til sepsis (30 %); E. coli
Vanligste årsak til UVI; E. coli
Årsak til UVI, men spalter ikke laktose; Proteus mirabilis/proteus/pseudomonas/pseudomonas aeruginosa
Vokser på laktoseagar med grønnpigmenterte kolonier og spalter ikke laktose; pseudomonas aeruginosa/pseudomonas/P. aeruginosa
Vanlig komplikasjon til UVI; nyrebekkenbetennelse/pyelonefritt
Vanligste årsak til turistdiaré er _____ E. coli; Enterotoksigen/ETEC/enterotoksigen e.coli
Type E. coli som produserer shigatoksiner og dreper epitelceller i tarmen; Enterohemoragisk/EHEC/enterohemoragisk e.coli
Er shigella en zoonose?; Nei
Finnes salmonella typhi og paratyphi i dyr?; Nei
Bakterie som aktiverer kloridpumper i tarmepitelet; Vibrio cholerae/V. cholerae/Kolera/kolerabakterien
Viktigste behandling ved kolera er; Hydrering/vann/drikke/væske
Bakterie som kan gi antibiotikaassosiert diaré; Clostridioides difficile/C. difficile/C difficile/C. diff/Clostridium difficile
Bakterie som kan gi gasskoldbrann eller gassgangren; Clostridium perfringens/C. perfringens
Helicobacter pylori lever på slimhinnen i; Magesekken/ventrikkelen/ventriculus/gaster
H. pylori skiller ut _____ som nøytraliserer magesyren; Urease
Bakterie som er vanlig grunn til magesår; Helicobacter pylori/H. pylori
Bakterie som behandles med to antibiotika og en protonpumpehemmer; Helicobacter pylori/H. pylori
Toksiner fra diarébakterier fører til økt sekresjon av; Elektrolytter (og vann)
Bakterie som gir rask diaré pga. preformede toksiner som tåler steking og koking; S. aureus/staphylococcus aureus
Bakterie som kan vokse ved kjøleskapstemperatur og ofte gir matforgiftning; Listeria monocytogenes
Skal man bruke antibiotika som behandling for EHEC?; Nei (Øker risikoen for HUS)
Skal man bruke antibiotika som behandling for shigella?; Ja
Hva gjør et baktericid antibiotikum?; Dreper
Hva gjør et bakteriostatisk antibiotikum?; hemmer formering/hemmer vekst
Hvilke antibiotika er MRSA resistent mot?; methicillin/meticillin (Og alle andre betalaktamer)
Transduksjon bruker ____ for å overføre plasmid; bakteriofag/bakteriofager
Gram _____ staver er naturlig resistente mot vankomycin; negative
Mueller-Hinton-agar tester _____; resistens
Hvorfor kan abscesser gi terapisvikt ved antibiotikabehandling?; lav pH/surt (Dårlig penetrasjon og høy bakterietetthet spiller også inn)
Hva kan brukes for å sikre virkningen av antibiotika?; Betalaktamasehemmer/betalaktamasehemmere (Klavulansyre)
Hva er det vanligste transportmediet for avføringsprøver?; Cary-Blair/Cary Blair
Hva forårsaker ofte tonsillitt?; GAS/gruppe A streptokokker/S. pyogenes/streptococcus pyogenes
Hvilken bakterie er mesterhjernen bak pseudomembranøs kolitt?; Clostridioides difficile/C. difficile/C. diff/Clostridium difficile
Hvilket antibiotikum er en risikofaktor for pseudomembranøs kolitt?; Klindamycin/clindamycin (Cefalosporiner og kinoloner gir også økt risiko)
Legionella pneumophila påvises med antigentest i _____; Urin
Virus som gir mikrocefali hos nyfødte; Zika/zikavirus
Hvis man har IgG uten IgM i blodet, har man da gått gjennom en infeksjon?; Ja
Smitte av virus gjennom stikk, skade eller insekt; Inokulasjon
Hva har ikke-nakne virus?; Kappe/envelope/ytre membran
Når et virus ligger stille (uten å gi sykdom) i kroppen?; Latens
Smitte fra dyr til menneske; Zoonose
Viktigste tiltak ved en alvorlig virusinfeksjon?; Isolasjon
Vanligste årsak til forkjølelse?; Rhinovirus
Viktigste virus som gir nedre luftveissymptomer hos barn; RSV/respiratorisk syncytialt virus
Virus som ofte gir myalgi, plutselig feber og hodepine, og som påvirker alle aldersgrupper; Influensavirus/influensa
Hva er det mest effektive helsetiltaket for å forebygge epidemier?; vaksiner/vaksine
Hepatitt B er hvilken type vaksine?; rekombinant
Toksoidvaksiner består av?; Inaktiverte toksiner/toksoider/avgiftede toksiner
Hvilken vaksine skulle angivelig forårsake autisme?; MMR (Påstanden bygget på forskningsjuks og den er grundig tilbakevist)
Hvilken type lymfocytter blir infisert av HIV?; CD4+/cd4 positive/T-hjelpeceller
Hvilket virus må sjekkes for resistens mot antivirale midler?; HIV
Virus som gir vekstretardasjon, hjertefeil og CNS-skade hos nyfødte?; rubella/røde hunder/rubellavirus
Den femte barnesykdommen; erythema infectiosum/parvovirus/parvovirus B19
